LR,WARMUP_STEPS,BATCH_SIZE,CONTEXT_LEN,N_LAYERS,N_HEADS,D_MODEL,D_FF,MODEL_VARIANT,val_acc_last,time_sec
0.0003,100,32,32,2,2,128,512,tinygpt,0.2734375,18.791635990142822
0.0001,1000,32,64,2,2,128,512,tinygpt,0.265625,35.731932163238525
0.0001,1000,32,128,2,2,128,512,tinygpt,0.265625,79.34354424476624
0.0005,100,32,128,2,2,128,512,tinygpt,0.26171875,78.90058994293213
0.0003,100,32,128,2,2,128,512,tinygpt,0.26171875,89.09441304206848
0.0003,300,32,128,2,2,128,512,tinygpt,0.26171875,83.48510193824768
0.0005,300,32,128,2,2,128,512,tinygpt,0.2578125,80.70093202590942
0.0005,1000,32,128,2,2,128,512,tinygpt,0.2578125,81.56026697158813
0.0003,300,32,64,2,2,128,512,tinygpt,0.2578125,34.83048987388611
0.0003,1000,32,128,2,2,128,512,tinygpt,0.2578125,82.43717408180237
0.0003,100,32,64,2,2,128,512,tinygpt,0.25390625,40.327460289001465
0.0001,100,32,64,2,2,128,512,tinygpt,0.25390625,41.22087597846985
0.0001,100,32,128,2,2,128,512,tinygpt,0.25390625,80.48699402809143
0.0001,300,32,64,2,2,128,512,tinygpt,0.25390625,35.362671852111816
0.0001,300,32,128,2,2,128,512,tinygpt,0.25390625,84.74390602111816
0.001,1000,32,128,2,2,128,512,tinygpt,0.25,79.97369194030762
0.0003,1000,32,32,2,2,128,512,tinygpt,0.25,18.609506130218506
0.0001,100,32,32,2,2,128,512,tinygpt,0.25,23.483886241912842
0.0001,300,32,32,2,2,128,512,tinygpt,0.25,18.494219064712524
0.0001,1000,32,32,2,2,128,512,tinygpt,0.2421875,19.953068017959595
0.0003,1000,32,64,2,2,128,512,tinygpt,0.23828125,35.215890884399414
