MODEL_VARIANT,LR,WARMUP_STEPS,CONTEXT_LEN,BETA2,BATCH_SIZE,N_LAYERS,N_HEADS,D_MODEL,D_FF,val_acc_last,time_sec
moe,0.0005,200,64,0.95,32,2,2,128,512,0.29296875,45.555909156799316
moe,0.0005,200,64,0.999,32,2,2,128,512,0.29296875,44.37834191322327
moe,0.0006500000000000001,100,64,0.999,32,2,2,128,512,0.29296875,43.997491121292114
moe,0.0007,150,64,0.9,32,2,2,128,512,0.2890625,41.600499868392944
moe,0.0007,150,64,0.999,32,2,2,128,512,0.2890625,43.30816626548767
moe,0.0007,600,64,0.999,32,2,2,128,512,0.2890625,38.137595891952515
moe,0.001,150,64,0.95,32,2,2,128,512,0.2890625,42.348912954330444
moe,0.001,150,64,0.98,32,2,2,128,512,0.2890625,43.45213484764099
moe,0.001,600,64,0.9,32,2,2,128,512,0.2890625,46.35833287239075
moe,0.0013000000000000002,300,64,0.98,32,2,2,128,512,0.2890625,44.20152807235718
moe,0.0013000000000000002,600,64,0.9,32,2,2,128,512,0.2890625,44.57042622566223
moe,0.0013000000000000002,600,64,0.95,32,2,2,128,512,0.2890625,43.502907276153564
moe,0.00035,100,64,0.98,32,2,2,128,512,0.2890625,42.843759298324585
moe,0.00035,200,64,0.98,32,2,2,128,512,0.2890625,43.15801692008972
moe,0.0006500000000000001,50,64,0.98,32,2,2,128,512,0.2890625,43.380099058151245
moe,0.0006500000000000001,50,64,0.999,32,2,2,128,512,0.2890625,46.222049713134766
moe,0.0006500000000000001,100,64,0.9,32,2,2,128,512,0.2890625,46.07591509819031
moe,0.0006500000000000001,100,64,0.98,32,2,2,128,512,0.2890625,43.82003211975098
moe,0.0006500000000000001,200,64,0.9,32,2,2,128,512,0.2890625,43.21823787689209
moe,0.0007,150,64,0.95,32,2,2,128,512,0.28515625,41.57399606704712
moe,0.0007,300,64,0.9,32,2,2,128,512,0.28515625,42.119279861450195
moe,0.0007,600,64,0.98,32,2,2,128,512,0.28515625,43.60015535354614
moe,0.001,600,64,0.95,32,2,2,128,512,0.28515625,44.560730934143066
moe,0.001,600,64,0.999,32,2,2,128,512,0.28515625,42.07210087776184
moe,0.0013000000000000002,150,64,0.9,32,2,2,128,512,0.28515625,41.13721418380737
moe,0.0013000000000000002,300,64,0.9,32,2,2,128,512,0.28515625,42.269978046417236
moe,0.0005,50,64,0.9,32,2,2,128,512,0.28515625,44.769904136657715
moe,0.0006500000000000001,50,64,0.95,32,2,2,128,512,0.28515625,44.61252808570862
moe,0.001,300,64,0.999,32,2,2,128,512,0.28125,41.83971285820007
moe,0.0013000000000000002,150,64,0.95,32,2,2,128,512,0.28125,41.90357828140259
moe,0.0013000000000000002,600,64,0.98,32,2,2,128,512,0.28125,44.79706788063049
moe,0.0005,50,64,0.95,32,2,2,128,512,0.28125,46.10442590713501
moe,0.0006500000000000001,100,64,0.95,32,2,2,128,512,0.28125,43.677722215652466
moe,0.0006500000000000001,200,64,0.98,32,2,2,128,512,0.28125,45.79995894432068
moe,0.0006500000000000001,200,64,0.999,32,2,2,128,512,0.28125,45.34560203552246
moe,0.001,300,64,0.9,32,2,2,128,512,0.27734375,42.982182025909424
moe,0.0013000000000000002,150,64,0.98,32,2,2,128,512,0.27734375,44.28643083572388
moe,0.00035,50,64,0.9,32,2,2,128,512,0.27734375,42.64672803878784
moe,0.00035,50,64,0.98,32,2,2,128,512,0.2734375,43.55039596557617
moe,0.00035,100,64,0.9,32,2,2,128,512,0.2734375,44.69823408126831
moe,0.00035,100,64,0.95,32,2,2,128,512,0.2734375,43.26678705215454
moe,0.00035,200,64,0.9,32,2,2,128,512,0.2734375,43.0059027671814
moe,0.00035,200,64,0.95,32,2,2,128,512,0.2734375,42.463793992996216
mq_rope,0.0013000000000000002,150,64,0.999,32,2,2,128,512,0.40625,40.40640211105347
mq_rope,0.0013000000000000002,300,64,0.999,32,2,2,128,512,0.40234375,38.796555042266846
mq_rope,0.0013000000000000002,500,64,0.999,32,2,2,128,512,0.40234375,41.34377384185791
mq_rope,0.0013000000000000002,600,64,0.999,32,2,2,128,512,0.39453125,37.989853858947754
mq_rope,0.001,500,64,0.999,32,2,2,128,512,0.39453125,40.898723125457764
mq_rope,0.0013000000000000002,500,64,0.98,32,2,2,128,512,0.390625,41.68453788757324
mq_rope,0.0013000000000000002,600,64,0.98,32,2,2,128,512,0.38671875,38.404650926589966
mq_rope,0.0007,150,64,0.9,32,2,2,128,512,0.3828125,49.92984390258789
mq_rope,0.001,150,64,0.98,32,2,2,128,512,0.3828125,50.53608298301697
mq_rope,0.001,300,64,0.999,32,2,2,128,512,0.3828125,41.553372859954834
mq_rope,0.0007,300,64,0.98,32,2,2,128,512,0.37890625,50.59638595581055
mq_rope,0.0007,600,64,0.999,32,2,2,128,512,0.37890625,51.040870904922485
mq_rope,0.001,300,64,0.95,32,2,2,128,512,0.37890625,42.1448860168457
mq_rope,0.0013000000000000002,600,64,0.95,32,2,2,128,512,0.37890625,38.075024127960205
mq_rope,0.001,500,64,0.9,32,2,2,128,512,0.37890625,40.93325591087341
mq_rope,0.0013000000000000002,500,64,0.95,32,2,2,128,512,0.37890625,41.75039792060852
mq_rope,0.0007,300,64,0.9,32,2,2,128,512,0.375,48.154703855514526
mq_rope,0.0013000000000000002,150,64,0.95,32,2,2,128,512,0.375,40.91261911392212
mq_rope,0.0013000000000000002,300,64,0.98,32,2,2,128,512,0.375,38.09783911705017
mq_rope,0.001,500,64,0.95,32,2,2,128,512,0.375,41.87809371948242
mq_rope,0.001,1000,64,0.95,32,2,2,128,512,0.375,40.489561796188354
mq_rope,0.001,1000,64,0.999,32,2,2,128,512,0.375,40.69378209114075
mq_rope,0.0013000000000000002,1000,64,0.95,32,2,2,128,512,0.375,42.12057709693909
mq_rope,0.001,150,64,0.95,32,2,2,128,512,0.37109375,53.05856990814209
mq_rope,0.001,600,64,0.98,32,2,2,128,512,0.37109375,40.56279897689819
mq_rope,0.001,600,64,0.999,32,2,2,128,512,0.37109375,39.25265598297119
mq_rope,0.0013000000000000002,150,64,0.98,32,2,2,128,512,0.37109375,40.22338604927063
mq_rope,0.0013000000000000002,600,64,0.9,32,2,2,128,512,0.37109375,38.34516096115112
mq_rope,0.0007,1000,64,0.999,32,2,2,128,512,0.37109375,40.45226693153381
mq_rope,0.001,1000,64,0.9,32,2,2,128,512,0.37109375,41.002301931381226
mq_rope,0.0013000000000000002,500,64,0.9,32,2,2,128,512,0.37109375,40.92090129852295
mq_rope,0.0013000000000000002,2000,64,0.95,32,2,2,128,512,0.37109375,40.97791910171509
mq_rope,0.0007,150,64,0.999,32,2,2,128,512,0.3671875,48.57699489593506
mq_rope,0.0007,300,64,0.95,32,2,2,128,512,0.3671875,47.393698930740356
mq_rope,0.001,150,64,0.9,32,2,2,128,512,0.3671875,47.57843494415283
mq_rope,0.001,300,64,0.9,32,2,2,128,512,0.3671875,42.8300039768219
mq_rope,0.001,600,64,0.95,32,2,2,128,512,0.3671875,42.074830770492554
mq_rope,0.0013000000000000002,150,64,0.9,32,2,2,128,512,0.3671875,41.16876482963562
mq_rope,0.0013000000000000002,300,64,0.95,32,2,2,128,512,0.3671875,38.373159885406494
mq_rope,0.0007,500,64,0.95,32,2,2,128,512,0.3671875,38.064882040023804
mq_rope,0.001,1000,64,0.98,32,2,2,128,512,0.3671875,40.892070055007935
mq_rope,0.0007,300,64,0.999,32,2,2,128,512,0.36328125,48.54112410545349
mq_rope,0.001,150,64,0.999,32,2,2,128,512,0.36328125,45.42292904853821
mq_rope,0.001,300,64,0.98,32,2,2,128,512,0.36328125,42.20725703239441
mq_rope,0.0007,2000,64,0.98,32,2,2,128,512,0.36328125,40.41994094848633
mq_rope,0.001,500,64,0.98,32,2,2,128,512,0.36328125,40.91736698150635
mq_rope,0.0013000000000000002,1000,64,0.98,32,2,2,128,512,0.36328125,41.680994272232056
mq_rope,0.0013000000000000002,2000,64,0.9,32,2,2,128,512,0.36328125,41.51121807098389
mq_rope,0.0013000000000000002,2000,64,0.98,32,2,2,128,512,0.36328125,40.751424074172974
mq_rope,0.0007,150,64,0.98,32,2,2,128,512,0.359375,47.65642809867859
mq_rope,0.0007,600,64,0.98,32,2,2,128,512,0.359375,45.42026615142822
mq_rope,0.001,600,64,0.9,32,2,2,128,512,0.359375,41.50911283493042
mq_rope,0.0013000000000000002,300,64,0.9,32,2,2,128,512,0.359375,40.115180015563965
mq_rope,0.0007,1000,64,0.98,32,2,2,128,512,0.359375,43.67179989814758
mq_rope,0.0013000000000000002,1000,64,0.9,32,2,2,128,512,0.359375,41.182016134262085
mq_rope,0.0007,600,64,0.9,32,2,2,128,512,0.35546875,46.237661838531494
mq_rope,0.0007,600,64,0.95,32,2,2,128,512,0.35546875,46.39095401763916
mq_rope,0.0007,1000,64,0.95,32,2,2,128,512,0.35546875,40.900097131729126
mq_rope,0.001,2000,64,0.999,32,2,2,128,512,0.35546875,40.74556875228882
mq_rope,0.0013000000000000002,2000,64,0.999,32,2,2,128,512,0.35546875,41.001251220703125
mq_rope,0.0007,150,64,0.95,32,2,2,128,512,0.3515625,47.348284006118774
mq_rope,0.0007,500,64,0.9,32,2,2,128,512,0.3515625,39.20830583572388
mq_rope,0.0007,500,64,0.98,32,2,2,128,512,0.3515625,37.5748770236969
mq_rope,0.0007,2000,64,0.999,32,2,2,128,512,0.3515625,40.9175341129303
mq_rope,0.001,2000,64,0.98,32,2,2,128,512,0.3515625,41.60688304901123
mq_rope,0.0013000000000000002,1000,64,0.999,32,2,2,128,512,0.3515625,41.171621799468994
mq_rope,0.0007,500,64,0.999,32,2,2,128,512,0.34765625,39.094406843185425
mq_rope,0.0007,1000,64,0.9,32,2,2,128,512,0.34765625,44.408429861068726
mq_rope,0.001,2000,64,0.95,32,2,2,128,512,0.34375,40.79160284996033
mq_rope,0.0007,2000,64,0.95,32,2,2,128,512,0.33984375,40.945199966430664
mq_rope,0.0007,2000,64,0.9,32,2,2,128,512,0.3359375,40.21392893791199
mq_rope,0.001,2000,64,0.9,32,2,2,128,512,0.328125,41.11879086494446
tinygpt,0.0013000000000000002,100,32,0.98,32,2,2,128,512,0.4140625,18.991307973861694
tinygpt,0.0013000000000000002,100,32,0.999,32,2,2,128,512,0.4140625,19.11640501022339
tinygpt,0.0013000000000000002,150,32,0.98,32,2,2,128,512,0.41015625,16.78609800338745
tinygpt,0.0013000000000000002,150,32,0.999,32,2,2,128,512,0.41015625,17.245346784591675
tinygpt,0.0013000000000000002,200,32,0.999,32,2,2,128,512,0.40625,21.12918710708618
tinygpt,0.0013000000000000002,300,32,0.999,32,2,2,128,512,0.3984375,17.183115005493164
tinygpt,0.0013000000000000002,100,32,0.9,32,2,2,128,512,0.3984375,22.237138032913208
tinygpt,0.0013000000000000002,100,32,0.95,32,2,2,128,512,0.3984375,19.02790093421936
tinygpt,0.0013000000000000002,150,32,0.9,32,2,2,128,512,0.39453125,17.155734062194824
tinygpt,0.0013000000000000002,150,32,0.95,32,2,2,128,512,0.39453125,16.95777988433838
tinygpt,0.0013000000000000002,300,32,0.9,32,2,2,128,512,0.390625,17.023766040802002
tinygpt,0.0013000000000000002,50,32,0.999,32,2,2,128,512,0.390625,20.943389892578125
tinygpt,0.0013000000000000002,200,32,0.95,32,2,2,128,512,0.390625,17.85421919822693
tinygpt,0.0013000000000000002,200,32,0.98,32,2,2,128,512,0.390625,22.158036947250366
tinygpt,0.0013000000000000002,300,32,0.98,32,2,2,128,512,0.38671875,16.922237157821655
tinygpt,0.001,300,32,0.999,32,2,2,128,512,0.3828125,16.494782209396362
tinygpt,0.0013000000000000002,200,32,0.9,32,2,2,128,512,0.3828125,19.89297103881836
tinygpt,0.0013000000000000002,300,32,0.95,32,2,2,128,512,0.37890625,17.222030878067017
tinygpt,0.001,150,32,0.999,32,2,2,128,512,0.375,16.660356044769287
tinygpt,0.001,50,32,0.999,32,2,2,128,512,0.375,18.299453020095825
